This list contains all games supported by FB Alpha.

434 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
; 1941j		;  	; 1941 - Counter Attack (Japan)				; 1941		; 1990	; Capcom	; CPS1		; 					;
; 1941		;  	; 1941 - Counter Attack (World)				; 		; 1990	; Capcom	; CPS1		; 					;
; 1944j		;  	; 1944 - the loop master (000620 Japan)			; 1944		; 2000	; Capcom / 8ing ; CPS2		; 					;
; 1944d		;  	; 1944 - the loop master (000620 USA Phoenix Edition)	; 1944		; 2000	; bootleg	; CPS2		; 					;
; 1944		;  	; 1944 - the loop master (000620 USA)			; 		; 2000	; Capcom / 8ing ; CPS2		; 					;
; 19xxa		;  	; 19XX - the war against destiny (951207 Asia)		; 19xx		; 1995	; Capcom	; CPS2		; 					;
; 19xxjr1	;  	; 19XX - the war against destiny (951207 Japan)		; 19xx		; 1995	; Capcom	; CPS2		; 					;
; 19xxd		;  	; 19XX - the war against destiny (951207 USA Phoenix Edi; 19xx		; 1995	; bootleg	; CPS2		; 					;
; 19xx		;  	; 19XX - the war against destiny (951207 USA)		; 		; 1995	; Capcom	; CPS2		; 					;
; 19xxb		;  	; 19XX - the war against destiny (951218 Brazil)	; 19xx		; 1995	; Capcom	; CPS2		; 					;
; 19xxh		;  	; 19XX - the war against destiny (951218 Hispanic)	; 19xx		; 1995	; Capcom	; CPS2		; 					;
; 19xxj		;  	; 19XX - the war against destiny (951225 Japan)		; 19xx		; 1995	; Capcom	; CPS2		; 					;
; avspa		;  	; Alien vs Predator (940520 Asia)			; avsp		; 1994	; Capcom	; CPS2		; 					;
; avspd		;  	; Alien vs Predator (940520 Euro Phoenix Edition)	; avsp		; 1994	; bootleg	; CPS2		; 					;
; avsp		;  	; Alien vs Predator (940520 Euro)			; 		; 1994	; Capcom	; CPS2		; 					;
; avsph		;  	; Alien vs Predator (940520 Hispanic)			; avsp		; 1994	; Capcom	; CPS2		; 					;
; avspj		;  	; Alien vs Predator (940520 Japan)			; avsp		; 1994	; Capcom	; CPS2		; 					;
; avspu		;  	; Alien vs Predator (940520 USA)			; avsp		; 1994	; Capcom	; CPS2		; 					;
; area88	;  	; Area 88 (Japan)					; unsquad	; 1989	; Daipro / Capco; CPS1		; 					;
; armwara	;  	; Armored Warriors (940920 Asia)			; armwar	; 1994	; Capcom	; CPS2		; 					;
; armwaru1	;  	; Armored Warriors (940920 USA)				; armwar	; 1994	; Capcom	; CPS2		; 					;
; armwar1d	;  	; Armored Warriors (941011 Europe Phoenix Edition)	; armwar	; 1994	; bootleg	; CPS2		; 					;
; armwarr1	;  	; Armored Warriors (941011 Europe)			; armwar	; 1994	; Capcom	; CPS2		; 					;
; armwar	;  	; Armored Warriors (941024 Europe)			; 		; 1994	; Capcom	; CPS2		; 					;
; armwaru	;  	; Armored Warriors (941024 USA)				; armwar	; 1994	; Capcom	; CPS2		; 					;
; batcira	;  	; Battle Circuit (970319 Asia)				; batcir	; 1997	; Capcom	; CPS2		; 					;
; batcird	;  	; Battle Circuit (970319 Euro Phoenix Edition)		; batcir	; 1997	; bootleg	; CPS2		; 					;
; batcir	;  	; Battle Circuit (970319 Euro)				; 		; 1997	; Capcom	; CPS2		; 					;
; batcirj	;  	; Battle Circuit (970319 Japan)				; batcir	; 1997	; Capcom	; CPS2		; 					;
; dino		;  	; Cadillacs & Dinosaurs (930201 etc)			; 		; 1993	; Capcom	; CPS1 / QSound	; 					;
; dinou		;  	; Cadillacs & Dinosaurs (930201 USA)			; dino		; 1993	; Capcom	; CPS1 / QSound	; 					;
; dinoh		;  	; Cadillacs and Dinosaurs (930223 Asia TW bootleg)	; dino		; 1993	; bootleg	; CPS1 / QSound	; 					;
; dinopic	; D NW	; Cadillacs and Dinosaurs (bootleg with PIC16c57, set 1); dino		; 1993	; Capcom	; CPS1		; Missing sprites, no sound		;
; dinopic2	; D NW	; Cadillacs and Dinosaurs (bootleg with PIC16c57, set 2); dino		; 1993	; Capcom	; CPS1		; Missing sprites, no sound		;
; dinoeh	;  	; Cadillacs and Dinosaurs (hack)			; dino		; 1993	; Capcom	; CPS1 / QSound	; 					;
; dinob		; X NW	; Cadillacs and Dinosaurs (identical to dinopic)	; dino		; 1993	; Capcom	; CPS1 / QSound	; Missing sprites, no sound		;
; dinoha	;  	; Cadillacs and Dinosaurs Turbo (930223 Asia TW bootleg); dino		; 1993	; bootleg	; CPS1 / QSound	; 					;
; dinohb	; D NW	; Cadillacs and Dinosaurs Turbo (bootleg with PIC16c57)	; dino		; 1993	; bootleg	; CPS1		; 					;
; kl2d		; X	; Cadillacs and Dinosaurs Turbo (identical to dinoha)	; dino		; 1993	; bootleg	; CPS1 / QSound	; 					;
; dinoj		;  	; Cadillacs Kyouryuu-Shinseiki (Cadillacs 930201 Japan)	; dino		; 1993	; Capcom	; CPS1 / QSound	; 					;
; cscluba	;  	; Capcom Sports Club (970722 Asia)			; csclub	; 1997	; Capcom	; CPS2		; 					;
; csclub1	;  	; Capcom Sports Club (970722 Euro)			; csclub	; 1997	; Capcom	; CPS2		; 					;
; csclubh	;  	; Capcom Sports Club (970722 Hispanic)			; csclub	; 1997	; Capcom	; CPS2		; 					;
; csclubj	;  	; Capcom Sports Club (970722 Japan)			; csclub	; 1997	; Capcom	; CPS2		; 					;
; csclubjr	;  	; Capcom Sports Club (970722 Japan, Rent version)	; csclub	; 1997	; Capcom	; CPS2		; 					;
